FieldName,DataType,IsPrimary
IPPatientMedicationId,bigint,1
AdmissionId,bigint,0
AlternativeProductId,bigint,0
AlternativeProductName,varchar,0
ApprovalReasonId,bigint,0
ApprovalStatus,char,0
ApprovedByID,bigint,0
ApprovedDays,int,0
ApprovedDosage,numeric,0
ApprovedFrequencyId,bigint,0
ApprovedQuantity,numeric,0
CancelledById,bigint,0
CancelledDate,datetime,0
CancelledQty,int,0
CancelReason,varchar,0
CancelReasonId,int,0
CreatedById,bigint,0
CreatedTime,datetime,0
Days,int,0
Dosage,numeric,0
DrugId,bigint,0
DrugIntakeTypeId,bigint,0
DrugName,varchar,0
DrugRequestType,varchar,0
DrugStatus,char,0
Form,varchar,0
Frequency,varchar,0
FrequencyId,bigint,0
GenericName,varchar,0
HospitalId,bigint,0
InstituteId,bigint,0
Intake,varchar,0
IPServiceRequestHeaderId,bigint,0
IsActive,bit,0
IsApprovalRequired,tinyint,0
IsCancelled,tinyint,0
IsConsolidated,tinyint,0
IsIssued,tinyint,0
IsSPR,tinyint,0
IsSPRApprovalReq,tinyint,0
IssuedQuantity,numeric,0
LastUpdatedTime,datetime,0
LMPDate,date,0
MedicationType,varchar,0
OrderApprovedById,bigint,0
OrderNumber,bigint,0
PendingQuantity,int,0
ProductCode,varchar,0
ProductId,bigint,0
Remarks,varchar,0
RequestedQuantity,int,0
ReturnQty,int,0
ReturnRequestQty,int,0
SponsorApprovalStatusId,int,0
SPRApporvalRemarks,varchar,0
Strength,varchar,0
TradeName,varchar,0
UpdatedById,bigint,0
UsageDirection,varchar,0
