FieldName,DataType,IsPrimary
IPReturnRequestDetailId,bigint,1
AdmissionId,bigint,0
AdmissionNumber,varchar,0
BatchNumber,varchar,0
CreatedById,bigint,0
CreatedTime,datetime,0
ExpiryDate,date,0
HospitalId,bigint,0
IPReturnRequestHeaderId,bigint,0
IPServiceRequestDetailsId,bigint,0
IPServiceRequestHeaderId,bigint,0
IsActive,tinyint,0
LastUpdatedTime,datetime,0
PendingReturnQty,int,0
Price,numeric,0
ProductId,bigint,0
ProductName,varchar,0
Remarks,varchar,0
ReturnQty,int,0
ReturnReqAcceptedBy,bigint,0
ReturnRequestQty,int,0
ServiceId,bigint,0
UpdatedById,bigint,0
WarehouseId,bigint,0
