FieldName,DataType,IsPrimary
IPSIBEntryDetailId,bigint,1
CGSTAmount,numeric,0
CGSTPercentage,numeric,0
CreatedById,bigint,0
CreatedTime,datetime,0
DiscountAmount,numeric,0
DiscountPercentage,numeric,0
GrossAmount,numeric,0
HospitalId,bigint,0
IGSTAmount,numeric,0
IGSTPercentage,numeric,0
IPPODetailId,bigint,0
IPSIBEntryHeaderId,bigint,0
IsActive,tinyint,0
LastUpdatedTime,datetime,0
NetAmount,numeric,0
OriginalQuantity,numeric,0
ProductId,bigint,0
ProductName,varchar,0
PurchaseUOMId,bigint,0
ReceivedQuantity,numeric,0
SGSTAmount,numeric,0
SGSTPercentage,numeric,0
SIBQuantity,numeric,0
UpdatedById,bigint,0
