FieldName,DataType,IsPrimary
IPServiceApprovalDetailsId,bigint,1
AdmissionId,bigint,0
AdmissionNumber,varchar,0
ApprovalReasonId,tinyint,0
ApprovalRemarks,varchar,0
ApprovalStatusId,tinyint,0
ApprovedById,tinyint,0
ApprovedQty,tinyint,0
BedBillingClassId,bigint,0
BedId,bigint,0
BloodGroupId,bigint,0
ByAmount,numeric,0
ByPercentage,numeric,0
ByTimes,numeric,0
CancelReasonId,int,0
CreatedById,bigint,0
CreatedTime,datetime,0
EmergencyCharges,numeric,0
HospitalId,bigint,0
HospitalTariff,numeric,0
IPServiceRequestDetailsId,bigint,0
IPServiceRequestHeaderId,bigint,0
IsActive,bit,0
IsApproved,tinyint,0
IsBedService,bit,0
IsMultipleProviderSplit,bit,0
IsPackage,tinyint,0
IsRenderDoctor,tinyint,0
IsServiceNegotiated,tinyint,0
IsServiceRenderred,tinyint,0
IssuedQuantity,numeric,0
LastUpdatedTime,datetime,0
LmpDate,date,0
LmpReason,varchar,0
OrderNumber,varchar,0
PackageId,bigint,0
PatientBillingClassId,bigint,0
PatientEmergencyCharges,numeric,0
PatientId,bigint,0
PCPercentage,numeric,0
PrescribedDoctorId,bigint,0
Price,numeric,0
PriorityByTimes,numeric,0
ProductId,bigint,0
RegistrationNumber,varchar,0
RejectedReasonId,tinyint,0
RejectedRemarks,varchar,0
Remarks,varchar,0
RenderDoctorId,bigint,0
RenderedById,bigint,0
RenderedDate,datetime,0
RequestedQuantity,int,0
ServiceArea,varchar,0
ServiceId,bigint,0
ServicePCAmount,numeric,0
ServicePCAmountWithDiscount,numeric,0
ServiceRequestDate,datetime,0
SponsorApprovalStatusId,int,0
SponsorId,bigint,0
SPRApporvalRemarks,varchar,0
STAT,varchar,0
TeamSplitPercentage,numeric,0
UpdatedById,bigint,0
