FieldName,DataType,IsPrimary
IPServiceRequestDetailsId,bigint,1
AdmissionId,bigint,0
AdmissionNumber,varchar,0
ApprovalReasonId,tinyint,0
ApprovalRemarks,varchar,0
ApprovalStatusId,tinyint,0
ApprovedById,tinyint,0
ApprovedQty,tinyint,0
AuditDate,datetime,0
AuditedById,bigint,0
BagNumber,varchar,0
BatchNumber,varchar,0
BedBillingClassId,bigint,0
BedId,bigint,0
BloodBankBagSizeId,int,0
BloodGroupId,bigint,0
ByAmount,numeric,0
ByPercentage,numeric,0
ByTimes,numeric,0
CancelledByUserId,bigint,0
CancelledDate,datetime,0
CancelRemarks,varchar,0
ComponentServiceId,bigint,0
CostPrice,numeric,0
CreatedById,bigint,0
CreatedTime,datetime,0
Days,int,0
DifferenceAmount,numeric,0
Dosage,numeric,0
DrugRequestType,varchar,0
EmergencyCharges,numeric,0
ExpiryDate,date,0
FrequencyId,bigint,0
HasDonor,tinyint,0
HospitalId,bigint,0
HospitalTariff,numeric,0
InvoiceNumber,varchar,0
IPPatientMedicationId,bigint,0
IPServiceRequestHeaderId,bigint,0
IsActive,bit,0
IsApprovalRequired,tinyint,0
IsApproved,tinyint,0
IsAudited,tinyint,0
IsBedService,bit,0
IsCancelled,tinyint,0
IsLifeSaving,tinyint,0
IsMultipleProviderSplit,bit,0
IsPackage,tinyint,0
IsPackageCalculated,tinyint,0
IsRenderDoctor,tinyint,0
IsSelf,tinyint,0
isServiceNegotiated,tinyint,0
IsServiceRenderred,tinyint,0
IssuedQuantity,numeric,0
ItemCode,varchar,0
ItemName,varchar,0
ItemTypeId,bigint,0
LastUpdatedTime,datetime,0
LmpDate,date,0
LmpReason,varchar,0
MRP,numeric,0
OrderNumber,varchar,0
PackageConsumedAmount,numeric,0
PackageConsumedQuantity,numeric,0
PackageId,bigint,0
PatientBillingClassId,bigint,0
PatientDiscountAmount,numeric,0
PatientEmergencyCharges,numeric,0
PatientFNSCAmount,numeric,0
PatientGrossAmount,numeric,0
PatientGrossDiscountAmount,numeric,0
PatientId,bigint,0
PatientNetAmount,numeric,0
PatientSurchargeAmount,numeric,0
PatientTaxAmount,numeric,0
PCPercentage,numeric,0
PendingQuantity,int,0
PrescribedDoctorId,bigint,0
Price,numeric,0
PriorityByTimes,numeric,0
ProdIndicator,varchar,0
ProductId,bigint,0
ReferenceId,bigint,0
RegistrationNumber,varchar,0
RejectedReasonId,tinyint,0
RejectedRemarks,varchar,0
Remarks,varchar,0
RenderDoctorId,bigint,0
RenderedAuthorisedById,bigint,0
RenderedById,bigint,0
RenderedDate,datetime,0
RenderedReason,varchar,0
RenderedRemarks,varchar,0
RequestedQuantity,int,0
RequestedReturnedQuantity,numeric,0
ReturnedQuantity,numeric,0
SellingPrice,numeric,0
ServiceArea,varchar,0
ServiceId,bigint,0
ServicePCAmount,numeric,0
ServicePCAmountWithDiscount,numeric,0
ServiceRequestDate,datetime,0
SpecialPharmacyRequestId,bigint,0
SplitQuantity,numeric,0
SponsorDiscountAmount,numeric,0
SponsorEmergencyCharges,numeric,0
SponsorFNSCAmount,numeric,0
SponsorGrossAmount,numeric,0
SponsorGrossDiscountAmount,numeric,0
SponsorNetAmount,numeric,0
SponsorSurchargeAmount,numeric,0
SponsorTaxAmount,numeric,0
STAT,varchar,0
TeamSplitPercentage,numeric,0
TransfusionHeaderId,bigint,0
UpdatedById,bigint,0
WarehouseId,bigint,0
