FieldName,DataType,IsPrimary
IPServiceRequestHeaderId,bigint,1
AdmissionId,bigint,0
AdmissionNumber,varchar,0
ConsolidatedFlag,tinyint,0
CreatedById,bigint,0
CreatedTime,datetime,0
CreditNoteAmount,numeric,0
CurrentAdmittingDoctorId,bigint,0
DebitNoteAmount,numeric,0
HospitalId,bigint,0
InvoiceNumber,varchar,0
IsActive,bit,0
IsBilled,bit,0
IsNSIRequest,bit,0
LastUpdatedTime,datetime,0
OrderNumber,varchar,0
OTAuthorizerID,bigint,0
PatientBillingClassId,bigint,0
PatientEmergencyAmount,numeric,0
PatientId,bigint,0
PatientTaxAmount,numeric,0
PrescribingDoctorId,bigint,0
ProdIndicator,char,0
RefDocNumber,varchar,0
RegistrationNumber,varchar,0
Remarks,varchar,0
RequestedDateTime,datetime,0
SponsorEmergencyAmount,numeric,0
SponsorTaxAmount,numeric,0
UpdatedById,bigint,0
WarehouseId,bigint,0
