FieldName,DataType,IsPrimary
LOSReportId,bigint,1
AgeGroup,varchar,0
AvgLOS,decimal,0
BBC,varchar,0
BedBillingClassId,bigint,0
CaseType,varchar,0
Count,int,0
CreatedById,bigint,0
CreatedTime,datetime,0
DepartmentName,varchar,0
Diagnosis,varchar,0
Gender,varchar,0
HospitalId,bigint,0
IsActive,tinyint,0
LastUpdatedTime,datetime,0
PatientClassId,bigint,0
PatientNetAmount,decimal,0
PBC,varchar,0
ReportDate,date,0
Sponsor,varchar,0
SponsorNetAmount,decimal,0
SurgeryName,varchar,0
UpdatedById,bigint,0
