FieldName,DataType,IsPrimary
MRDFileRequestHeaderId,bigint,1
AdmissionId,bigint,0
AdmissionNumber,varchar,0
AppointmentId,bigint,0
CreatedById,bigint,0
CreatedTime,datetime,0
CurrentLocation,varchar,0
HospitalId,bigint,0
IsActive,tinyint,0
IsStat,tinyint,0
LastUpdatedTime,datetime,0
MRDFileMovementStatusId,tinyint,0
MRDRequestReasonId,tinyint,0
MRDRequestTypeId,tinyint,0
PatientId,bigint,0
Remarks,varchar,0
RequestedDate,datetime,0
RequestingUserId,bigint,0
UpdatedById,bigint,0
WaitListId,bigint,0
