FieldName,DataType,IsPrimary
MaterialRequestDetailId,bigint,1
AuthorizedQuantity,numeric,0
CancelledById,bigint,0
CancelledReasonId,bigint,0
ConfirmedById,bigint,0
CreatedById,bigint,0
CreatedTime,datetime,0
HospitalId,bigint,0
IsActive,tinyint,0
IsCancelled,tinyint,0
IssuedQuantity,numeric,0
LastUpdatedTime,datetime,0
MaterialRequestHeaderId,bigint,0
MaxQuantity,numeric,0
MinQuantity,numeric,0
ProductId,bigint,0
ProductName,varchar,0
RejectedQuantity,numeric,0
RequestedQuantity,numeric,0
RequestReferenceId,bigint,0
UOMId,bigint,0
UpdatedById,bigint,0
