FieldName,DataType,IsPrimary
MaterialRequestHeaderId,bigint,1
CancelledReasonId,bigint,0
CancelRemarks,varchar,0
CreatedById,bigint,0
CreatedTime,datetime,0
ExpectedDeliveryDate,date,0
HospitalId,bigint,0
IsActive,tinyint,0
IsAutoMR,tinyint,0
IsAutoRequest,tinyint,0
IsCancelled,tinyint,0
IsUrgent,tinyint,0
LastUpdatedTime,datetime,0
MaterialRequestNumber,varchar,0
Remarks,varchar,0
RequestedById,bigint,0
RequestedDate,datetime,0
RequestedWarehouseId,bigint,0
RequestingWarehouseId,bigint,0
UpdatedById,bigint,0
