FieldName,DataType,IsPrimary
NurseId,bigint,1
Address,varchar,0
CreatedById,bigint,0
CreatedTime,datetime,0
DeleteComments,varchar,0
DepartmentId,bigint,0
DigitalSignature,varchar,0
DisplayName,varchar,0
EmailId,varchar,0
EmployeeId,bigint,0
FirstName,varchar,0
GenderId,bigint,0
HospitalId,bigint,0
IsActive,bit,0
JoiningDate,date,0
LandmarkId,bigint,0
LastName,varchar,0
LastUpdatedTime,datetime,0
MiddleName,varchar,0
MobileNumber,varchar,0
NationalityId,bigint,0
NurseCode,varchar,0
NurseName,varchar,0
OfficeTelphone,varchar,0
Photo,varchar,0
PinCode,varchar,0
PlaceId,bigint,0
SendEmail,tinyint,0
SendSMS,tinyint,0
TitleId,bigint,0
UpdatedById,bigint,0
UserId,bigint,0
