FieldName,DataType,IsPrimary
OphthalContactLensPrescriptionId,bigint,1
AppointmentId,bigint,0
CreatedById,bigint,0
CreatedTime,datetime,0
HospitalId,bigint,0
IsActive,tinyint,0
LastUpdatedTime,datetime,0
LeftAddition,decimal,0
LeftAxis,decimal,0
LeftBaseCurve,decimal,0
LeftBrand,varchar,0
LeftCylindrical,decimal,0
LeftDiameter,decimal,0
LeftSpherical,decimal,0
LeftVisualActivity,decimal,0
PatientId,bigint,0
RightAddition,decimal,0
RightAxis,decimal,0
RightBaseCurve,decimal,0
RightBrand,varchar,0
RightCylindrical,decimal,0
RightDiameter,decimal,0
RightSpherical,decimal,0
RightVisualActivity,decimal,0
UpdatedById,bigint,0
