FieldName,DataType,IsPrimary
OphthalNewPrescriptionId,bigint,1
AppointmentId,bigint,0
CreatedById,bigint,0
CreatedTime,datetime,0
HospitalId,bigint,0
IsActive,tinyint,0
LastUpdatedTime,datetime,0
LeftAddition,decimal,0
LeftPrism,decimal,0
LeftVisualActivity,decimal,0
OphthalDetailId,bigint,0
PatientId,bigint,0
ProgressiveBEFH,decimal,0
ProgressiveED,decimal,0
ProgressiveLEPD,decimal,0
ProgressiveREPD,decimal,0
RightAddition,decimal,0
RightPrism,decimal,0
RightVisualActivity,decimal,0
UpdatedById,bigint,0
