FieldName,DataType,IsPrimary
OphthalOldPrescriptionId,bigint,1
AppointmentId,bigint,0
CreatedById,bigint,0
CreatedTime,datetime,0
HospitalId,bigint,0
IsActive,tinyint,0
LastUpdatedTime,datetime,0
LeftAddition,decimal,0
LeftAxis,decimal,0
LeftCylindrical,decimal,0
LeftPrism,decimal,0
LeftPupilDistance,decimal,0
LeftSpherical,decimal,0
LeftVisualActivity,decimal,0
PatientId,bigint,0
RightAddition,decimal,0
RightAxis,decimal,0
RightCylindrical,decimal,0
RightPrism,decimal,0
RightPupilDistance,decimal,0
RightSpherical,decimal,0
RightVisualActivity,decimal,0
UpdatedById,bigint,0
