FieldName,DataType,IsPrimary
OphthalProductDetailId,bigint,1
A,int,0
ADD,numeric,0
AXI,int,0
BC,numeric,0
Bridge,int,0
ColorId,bigint,0
ContactLensMaterialId,bigint,0
ContactLensReplacementId,bigint,0
ContactLensTypeId,bigint,0
ContactLensWearingPeriodId,bigint,0
CreatedById,bigint,0
CreatedTime,datetime,0
CYL,numeric,0
DIA,numeric,0
FrameMaterialId,bigint,0
FrameModelId,bigint,0
FrameShapeId,bigint,0
FrameTypeId,bigint,0
HasBackAR,tinyint,0
HasFrontAR,tinyint,0
HospitalId,bigint,0
IsActive,tinyint,0
IsPhotochromatic,tinyint,0
IsPolarized,tinyint,0
IsRefractiveIndexRequired,tinyint,0
IsScratchResistant,tinyint,0
IsSuperHydrophobic,tinyint,0
IsTintable,tinyint,0
LastUpdatedTime,datetime,0
LensIndex,numeric,0
OphthalGenderGroupId,bigint,0
Packaging,varchar,0
ProductId,bigint,0
SPH,numeric,0
Temple,int,0
UPC,varchar,0
UpdatedById,bigint,0
