FieldName,DataType,IsPrimary
OrderProductMapId,bigint,1
AppointmentId,bigint,0
BatchNumber,varchar,0
CreatedById,bigint,0
CreatedTime,datetime,0
Days,int,0
Dosage,numeric,0
DrugInTakeTypeId,bigint,0
FrequencyId,bigint,0
HospitalId,bigint,0
IsActive,tinyint,0
IsBilled,bit,0
IsCancelled,bit,0
IssuedQuantity,int,0
LastUpdatedTime,datetime,0
OrderId,bigint,0
OrderServiceMapId,bigint,0
PatientMedicationId,bigint,0
PendingQuantity,int,0
PrevIssuedQuantity,int,0
ProductId,bigint,0
RequestedQuantity,int,0
SpecialPharmacyRequestId,bigint,0
UpdatedById,bigint,0
UsageDirection,varchar,0
WarehouseId,bigint,0
