FieldName,DataType,IsPrimary
PatientBedSoreIndexId,bigint,1
AdmissionId,bigint,0
BedSoreDevDateTime,datetime,0
BedSoreDischargeConditionId,int,0
BedSoreGradeId,int,0
CreatedById,bigint,0
CreatedTime,datetime,0
DevDuringHospitalStay,tinyint,0
DiagnosisId,bigint,0
HospitalId,bigint,0
IsActive,tinyint,0
LastUpdatedTime,datetime,0
NurseId,bigint,0
PatientId,bigint,0
PresentOnAdmission,tinyint,0
RecordingDateTime,datetime,0
RegistrationNumber,varchar,0
TreatmentProvided,varchar,0
UpdatedById,bigint,0
