FieldName,DataType,IsPrimary
PatientDischargeId,bigint,1
AdmissionId,bigint,0
AdmissionNumber,varchar,0
BlackListId,bigint,0
CancelRemark,varchar,0
ClearedById,bigint,0
CreatedById,bigint,0
CreatedTime,datetime,0
DischargeCancelAuthorizerId,bigint,0
DischargeCancelReasonId,bigint,0
DischargeDateTime,datetime,0
DischargeReasonId,bigint,0
DischargeStatusId,bigint,0
DischargeTypeId,bigint,0
DischargeTypeRemark,varchar,0
DisplayOrder,int,0
ExpiredDateTime,datetime,0
FinancialClearanceReasonId,bigint,0
HospitalId,bigint,0
IsActive,bit,0
IsFeedbackFormFilled,bit,0
IsFinancialClearance,bit,0
IsVisitorPassReturned,bit,0
LastUpdatedTime,datetime,0
TransferLocation,varchar,0
UpdatedById,bigint,0
VisitorPassNotReturnReason,varchar,0
