FieldName,DataType,IsPrimary
PreOpAnaestheticAssessmentId,bigint,1
AdmissionId,bigint,0
AdmissionNumber,varchar,0
Airway,varchar,0
AnaesthesiaTypeId,bigint,0
ASAStatus,varchar,0
CreatedById,bigint,0
CreatedTime,datetime,0
DeleteComments,varchar,0
Dentures,varchar,0
DoctorId,bigint,0
DrugTherapy,varchar,0
HospitalId,bigint,0
IsActive,int,0
IsReEvaluationDone,int,0
LastUpdatedTime,datetime,0
Metabolic,varchar,0
Neckmovements,varchar,0
Neuro,varchar,0
OperationProposedDate,datetime,0
PatientAllergyId,bigint,0
PatientExaminationId,bigint,0
PatientVitalId,bigint,0
PreMedicationAdvice,varchar,0
Renal,varchar,0
SpecialNotes,varchar,0
Spine,varchar,0
SurgeonId,bigint,0
SurgeryId,bigint,0
Teeth,varchar,0
TMJoints,varchar,0
UpdatedById,bigint,0
