FieldName,DataType,IsPrimary
ProductId,bigint,1
ABCCodeId,int,0
ActiveStatus,tinyint,0
AvgCostPrice,numeric,0
BannedReason,varchar,0
BinLocation,varchar,0
CostUpdatedOn,datetime,0
CreatedById,bigint,0
CreatedTime,datetime,0
CurrentSP,numeric,0
DeleteComment,varchar,0
DisplayName,varchar,0
DrugFormId,bigint,0
DrugInTakeTypeId,bigint,0
DrugTypeId,bigint,0
GenericId,bigint,0
HospitalId,bigint,0
HSNCode,varchar,0
HSNCodeDescription,varchar,0
HSNCodeId,int,0
IsActive,tinyint,0
IsApprovalRequired,tinyint,0
IsBanned,tinyint,0
IsBarcodePrinted,tinyint,0
IsBatch,tinyint,0
IsChargeable,tinyint,0
IsDecimalQuantityAllowed,tinyint,0
IsExpired,tinyint,0
IsFreezerStored,tinyint,0
IsImported,tinyint,0
IsMultiUnit,tinyint,0
IsNarcotic,tinyint,0
IsPsychotropic,tinyint,0
IsScheduleH,tinyint,0
IssueToPackageConversion,numeric,0
IssueUOMId,bigint,0
LastCost,numeric,0
LastUpdatedTime,datetime,0
LeadTime,int,0
MainWarehouseId,bigint,0
ManufacturerId,bigint,0
MarkupPercentageId,bigint,0
MaxStock,numeric,0
MinStock,numeric,0
PackageUOMId,bigint,0
ProductCode,varchar,0
ProductName,varchar,0
ProductSubGroupId,bigint,0
ProductTypeId,bigint,0
PurchaseToStockConversion,numeric,0
PurchaseUOMId,bigint,0
Remarks,varchar,0
ReOrderLevel,int,0
ReOrderQuantity,numeric,0
StandardCost,numeric,0
StockToIssueConversion,numeric,0
StockUOMId,bigint,0
TaxCodeId,bigint,0
UpdatedById,bigint,0
UsageDirection,varchar,0
VEDCodeId,int,0
