FieldName,DataType,IsPrimary
RegistrationReportId,bigint,1
AgeGroup,varchar,0
City,varchar,0
Count,int,0
CreatedById,bigint,0
CreatedTime,datetime,0
Gender,varchar,0
HospitalId,bigint,0
IncomeSlab,varchar,0
InstituteType,varchar,0
IsActive,tinyint,0
LastUpdatedTime,datetime,0
Nationality,varchar,0
OPIPConversionCount,int,0
OPIPPatients,varchar,0
PatientId,bigint,0
Place,varchar,0
ReferralType,varchar,0
RegistrationType,varchar,0
ReportDate,date,0
Revenue,decimal,0
Sponsor,varchar,0
StateName,varchar,0
TargetValue,int,0
UpdatedById,bigint,0
VIPCategoryId,bigint,0
VIPCategoryName,varchar,0
