FieldName,DataType,IsPrimary
SpecialPharmacyRequestId,bigint,1
BatchNumber,varchar,0
CreatedById,bigint,0
CreatedTime,datetime,0
DoctorId,bigint,0
DocumentDate,date,0
DocumentNumber,varchar,0
ExpiryDate,date,0
HospitalId,bigint,0
IPPatientMedicationId,bigint,0
IsActive,tinyint,0
ItemDescription,varchar,0
LastUpdatedTime,datetime,0
PatientMedicationId,bigint,0
PurchasePrice,decimal,0
Quantity,int,0
Remarks,varchar,0
SellingPrice,decimal,0
SPRCode,varchar,0
SupplierId,bigint,0
UOMId,bigint,0
UpdatedById,bigint,0
