FieldName,DataType,IsPrimary
StockAuditId,bigint,1
AdmissionNumber,varchar,0
BatchNumber,varchar,0
CostPrice,numeric,0
CreatedById,bigint,0
CreatedTime,datetime,0
ExpiryDate,date,0
HospitalId,bigint,0
IsActive,tinyint,0
IsBatch,bit,0
IssuedQuantity,int,0
LastUpdatedTime,datetime,0
MRP,numeric,0
OrderNumber,varchar,0
PaymentTypeId,bigint,0
ProductId,bigint,0
RegistrationNumber,varchar,0
RegistrationTypeId,bigint,0
SellingPrice,numeric,0
SoldOn,varchar,0
TransactionTypeId,bigint,0
UpdatedById,bigint,0
WarehouseId,bigint,0
