FieldName,DataType,IsPrimary
SupplierId,bigint,1
BankAccountNo,varchar,0
BankBranch,varchar,0
BankDetailId,int,0
CityId,bigint,0
ContactPersonEmailId,varchar,0
ContactPersonname,varchar,0
ContactPersonPhone,varchar,0
CountryId,bigint,0
CreatedById,bigint,0
CreatedTime,datetime,0
CreditLimit,int,0
CurrencyId,bigint,0
DeleteComments,varchar,0
DetailAddress,varchar,0
DocFlag,bit,0
EmailId,varchar,0
FaxNumber,varchar,0
GroupLedgerCode,varchar,0
GSTNumber,varchar,0
HospitalId,bigint,0
IFSCCode,varchar,0
IsActive,tinyint,0
IsSupplierLocal,tinyint,0
LastUpdatedTime,datetime,0
LeadTime,int,0
LicenseNumber,varchar,0
PAN,varchar,0
PayeeName,varchar,0
PaymentTerms,int,0
PhoneNumber,varchar,0
POTypeId,int,0
StateId,bigint,0
SupplierCode,varchar,0
SupplierDoctorId,bigint,0
SupplierName,varchar,0
TelephoneNumber1,varchar,0
TelephoneNumber2,varchar,0
TelexNumber,varchar,0
TIN,varchar,0
UpdatedById,bigint,0
Website,varchar,0
Zipcode,varchar,0
