FieldName,DataType,IsPrimary
SurgeryHeaderId,bigint,1
AdmissionId,bigint,0
AnaesthesiaTypeId,bigint,0
CreatedById,bigint,0
CreatedTime,datetime,0
HospitalId,bigint,0
IPServiceRequestHeaderId,bigint,0
IsActive,bit,0
LastUpdatedTime,datetime,0
OperationTheatreId,bigint,0
OrderNumber,varchar,0
PatientArrivalDateTime,datetime,0
PatientExitDateTime,datetime,0
PatientId,bigint,0
PrescribingDoctorId,bigint,0
SkinCloseDateTime,datetime,0
SkinOpenDateTime,datetime,0
SurgeryEndDateTime,datetime,0
SurgeryRemarks,varchar,0
SurgeryStartDateTime,datetime,0
UpdatedById,bigint,0
