FieldName,DataType,IsPrimary
SurgeryReportId,bigint,1
AgeGroup,varchar,0
AgeGroupId,bigint,0
Count,int,0
CreatedById,bigint,0
CreatedTime,datetime,0
DepartmentId,bigint,0
DepartmentName,varchar,0
Gender,varchar,0
Grade,varchar,0
GradeId,bigint,0
HospitalId,bigint,0
HrsBilled,int,0
IsActive,tinyint,0
LastUpdatedTime,datetime,0
OperationType,varchar,0
PatientNetAmount,numeric,0
ReportDate,date,0
Sponsor,varchar,0
SponsorNetAmount,numeric,0
Surgeon,varchar,0
SurgeryType,varchar,0
Theatre,varchar,0
TheatreId,bigint,0
TheatreType,varchar,0
TheatreTypeId,bigint,0
UpdatedById,bigint,0
