FieldName,DataType,IsPrimary
SurveyQuestionId,bigint,1
CreatedById,bigint,0
CreatedTime,datetime,0
DisplayQuestion,varchar,0
EndRange,int,0
EndRangeText,varchar,0
HospitalId,bigint,0
Interval,int,0
IsActive,tinyint,0
IsAnonymous,tinyint,0
IsKeyQuestion,tinyint,0
IsMandatory,tinyint,0
LastUpdatedTime,datetime,0
ParentQuestionId,bigint,0
Question,varchar,0
QuestionIcons,varchar,0
StartRange,int,0
StartRangeText,varchar,0
SurveyAnswerTypeId,bigint,0
SurveyFormId,bigint,0
SurveyQuestionGroupId,bigint,0
SurveyQuestionTypeId,bigint,0
UpdatedById,bigint,0
Weightage,numeric,0
