FieldName,DataType,IsPrimary
TransferLocationId,bigint,1
AdmissionId,bigint,0
AdmissionNumber,varchar,0
AllottedBedId,bigint,0
BedAllottedDate,datetime,0
BedBillingClassId,bigint,0
BedDeallocatedDate,datetime,0
CancelledDate,datetime,0
CancelRemark,varchar,0
ConfirmedById,bigint,0
ConfirmedDate,datetime,0
ConfirmRemarks,varchar,0
CreatedById,bigint,0
CreatedTime,datetime,0
CurrentBedId,bigint,0
DeallocatedById,bigint,0
DeleteComments,varchar,0
HospitalId,bigint,0
InConsistentBedReason,varchar,0
IsActive,bit,0
IsBedRetain,bit,0
LastUpdatedTime,datetime,0
PatientClassId,bigint,0
PatientId,bigint,0
Remarks,varchar,0
RequestedDate,datetime,0
RequestingBedId,bigint,0
RetainBedStatus,varchar,0
TransferCancelReasonId,bigint,0
TransferReasonId,bigint,0
TransferStatusId,bigint,0
TransferTypeId,bigint,0
UpdatedById,bigint,0
