FieldName,DataType,IsPrimary
TransferPaymentTypeId,bigint,1
AdmissionId,bigint,0
AdmissionNumber,varchar,0
CancelledDate,datetime,0
CancelRemark,varchar,0
ConfirmedById,bigint,0
ConfirmedDate,datetime,0
ConfirmRemarks,varchar,0
CoveredCompanyId,bigint,0
CreatedById,bigint,0
CreatedTime,datetime,0
CurrentPatientSponsorId,bigint,0
CurrentPaymentTypeId,bigint,0
CurrentSponsorId,bigint,0
DeleteComments,varchar,0
EligibleBillingClassId,bigint,0
HospitalId,bigint,0
IsActive,bit,0
LastUpdatedTime,datetime,0
PatientId,bigint,0
Remarks,varchar,0
RequestedDate,datetime,0
RequestingCardNo,varchar,0
RequestingPanelDoctorId,bigint,0
RequestingPatientSponsorId,bigint,0
RequestingPaymentTypeId,bigint,0
RequestingPolicyNumber,varchar,0
RequestingRefDocDate,datetime,0
RequestingReferenceNo,varchar,0
RequestingSOAPFormNo,varchar,0
RequestingSponsorId,bigint,0
RequestingValidDate,datetime,0
TransferCancelReasonId,bigint,0
TransferLocationId,bigint,0
TransferReasonId,bigint,0
TransferStatusId,bigint,0
UpdatedById,bigint,0
