FieldName,DataType,IsPrimary
TriageDetailId,bigint,1
AttendantId,bigint,0
AttendingDoctorId,bigint,0
BedId,bigint,0
CasualtyBedId,bigint,0
CasualtyBedNumber,varchar,0
CasualtyCheckedOutBy,bigint,0
CasualtyCheckOutTime,datetime,0
CasualtyNumber,varchar,0
CheckOutDetailsId,bigint,0
ClinicalDetailEnteredBy,bigint,0
ClinicalDetailEntryTime,datetime,0
CreatedById,bigint,0
CreatedTime,datetime,0
DepartmentId,bigint,0
DoctorAssignedBy,bigint,0
DoctorAssignEntryTime,datetime,0
HospitalId,bigint,0
IsActive,tinyint,0
IsFreezed,tinyint,0
IsMLC,bit,0
IsVirtualBed,bit,0
LastUpdatedTime,datetime,0
MLCFileName,varchar,0
MLCFileType,varchar,0
MLCNumber,varchar,0
NurseId,bigint,0
PatientId,bigint,0
Symptoms,varchar,0
TriageCategoryId,int,0
TriageCheckedOutBy,bigint,0
TriageCheckOutRemarks,varchar,0
TriageCheckOutTime,datetime,0
TriageCheckOutTypeId,int,0
TriageNumber,varchar,0
UpdatedById,bigint,0
VisitTime,datetime,0
